city,year,avg_temperature,avg_humidity,precipitation,state_region,country,baseline_water_stress,water_depletion,seasonal_variability,drought_severity
"Houston, USA",2023,22.17,72.13,884.38,Texas,United States,2.7627671001092096,2.2165467084104846,3.323840776768745,0.7776884994855672
"Houston, USA",2024,21.9,76.16,1380.91,Texas,United States,2.7627671001092096,2.2165467084104846,3.323840776768745,0.7776884994855672
"Las Vegas, USA",2020,20.61,26.94,81.3,Nevada,United States,3.868198083057271,3.6234652569254417,2.74747397797725,1.2229481913897031
"Las Vegas, USA",2021,20.93,26.96,101.19,Nevada,United States,3.868198083057271,3.6234652569254417,2.74747397797725,1.2229481913897031
"Las Vegas, USA",2022,20.44,28.87,108.87,Nevada,United States,3.868198083057271,3.6234652569254417,2.74747397797725,1.2229481913897031
"Las Vegas, USA",2023,19.69,32.69,189.7,Nevada,United States,3.868198083057271,3.6234652569254417,2.74747397797725,1.2229481913897031
"Las Vegas, USA",2024,21.38,28.06,98.41,Nevada,United States,3.868198083057271,3.6234652569254417,2.74747397797725,1.2229481913897031
"Salt Lake City, USA",2020,9.23,52.56,295.28,Utah,United States,2.7010224442091864,2.354747307624773,2.4593252047017105,1.2721699049599304
"Salt Lake City, USA",2021,9.66,54.88,489.1,Utah,United States,2.7010224442091864,2.354747307624773,2.4593252047017105,1.2721699049599304
"Salt Lake City, USA",2022,8.68,56.89,445.06,Utah,United States,2.7010224442091864,2.354747307624773,2.4593252047017105,1.2721699049599304
"Salt Lake City, USA",2023,8.25,63.59,582.8,Utah,United States,2.7010224442091864,2.354747307624773,2.4593252047017105,1.2721699049599304
"Salt Lake City, USA",2024,9.76,56.96,576.83,Utah,United States,2.7010224442091864,2.354747307624773,2.4593252047017105,1.2721699049599304
"Minneapolis, USA",2020,6.85,79.44,751.74,Minnesota,United States,1.6343416753101454,0.775805840610359,2.48567522638496,1.2586609492228855
"Minneapolis, USA",2021,8.35,73.2,681.8,Minnesota,United States,1.6343416753101454,0.775805840610359,2.48567522638496,1.2586609492228855
"Minneapolis, USA",2022,6.45,73.72,709.91,Minnesota,United States,1.6343416753101454,0.775805840610359,2.48567522638496,1.2586609492228855
"Minneapolis, USA",2023,8.27,76.49,863.55,Minnesota,United States,1.6343416753101454,0.775805840610359,2.48567522638496,1.2586609492228855
"Minneapolis, USA",2024,8.9,74.68,989.38,Minnesota,United States,1.6343416753101454,0.775805840610359,2.48567522638496,1.2586609492228855
"Detroit, USA",2020,9.76,78.18,807.71,Michigan,United States,0.8740179856116937,0.4119548075463508,2.07666254210376,2.355945263777941
"Detroit, USA",2021,10.26,77.58,924.14,Michigan,United States,0.8740179856116937,0.4119548075463508,2.07666254210376,2.355945263777941
"Detroit, USA",2022,9.37,75.59,636.65,Michigan,United States,0.8740179856116937,0.4119548075463508,2.07666254210376,2.355945263777941
"Detroit, USA",2023,10.06,76.53,879.54,Michigan,United States,0.8740179856116937,0.4119548075463508,2.07666254210376,2.355945263777941
"Detroit, USA",2024,10.96,76.77,873.89,Michigan,United States,0.8740179856116937,0.4119548075463508,2.07666254210376,2.355945263777941
"Dublin, Ireland",2020,10.15,87.79,1184.13,Dublin,Ireland,1.0690289403950055,0.5777587086514333,1.3241416336362513,1.5575041456343868
"Dublin, Ireland",2021,10.45,87.65,1066.2,Dublin,Ireland,1.0690289403950055,0.5777587086514333,1.3241416336362513,1.5575041456343868
