city,year,avg_temperature,avg_humidity,precipitation,state_region,country,baseline_water_stress,water_depletion,seasonal_variability,drought_severity,city_clean,compute_growth_score,hyperscaler_presence,data_center_count,estimated_mw_capacity
"Detroit, USA",2022,9.37,75.59,636.65,Michigan,United States,0.8740179856116937,0.4119548075463508,2.07666254210376,2.355945263777941,Detroit,Medium,1,15,80
"Detroit, USA",2023,10.06,76.53,879.54,Michigan,United States,0.8740179856116937,0.4119548075463508,2.07666254210376,2.355945263777941,Detroit,Medium,1,15,80
"Detroit, USA",2024,10.96,76.77,873.89,Michigan,United States,0.8740179856116937,0.4119548075463508,2.07666254210376,2.355945263777941,Detroit,Medium,1,15,80
"Dublin, Ireland",2020,10.15,87.79,1184.13,Dublin,Ireland,1.0690289403950055,0.5777587086514333,1.3241416336362513,1.5575041456343868,Dublin,Very High,1,70,350
"Dublin, Ireland",2021,10.45,87.65,1066.2,Dublin,Ireland,1.0690289403950055,0.5777587086514333,1.3241416336362513,1.5575041456343868,Dublin,Very High,1,70,350
"Dublin, Ireland",2022,10.8,87.05,917.58,Dublin,Ireland,1.0690289403950055,0.5777587086514333,1.3241416336362513,1.5575041456343868,Dublin,Very High,1,70,350
"Dublin, Ireland",2023,10.98,88.33,1300.3,Dublin,Ireland,1.0690289403950055,0.5777587086514333,1.3241416336362513,1.5575041456343868,Dublin,Very High,1,70,350
"Dublin, Ireland",2024,10.63,88.43,1134.52,Dublin,Ireland,1.0690289403950055,0.5777587086514333,1.3241416336362513,1.5575041456343868,Dublin,Very High,1,70,350
"Amsterdam, Netherlands",2020,11.37,82.99,877.82,Noord-Holland,Netherlands,0.587936950148668,0.3496499131826233,1.277065819971829,0.7087380209531675,Amsterdam,Very High,1,70,350
"Amsterdam, Netherlands",2021,10.38,85.62,875.04,Noord-Holland,Netherlands,0.587936950148668,0.3496499131826233,1.277065819971829,0.7087380209531675,Amsterdam,Very High,1,70,350
"Amsterdam, Netherlands",2022,11.54,82.83,736.67,Noord-Holland,Netherlands,0.587936950148668,0.3496499131826233,1.277065819971829,0.7087380209531675,Amsterdam,Very High,1,70,350
"Amsterdam, Netherlands",2023,11.68,84.16,1048.49,Noord-Holland,Netherlands,0.587936950148668,0.3496499131826233,1.277065819971829,0.7087380209531675,Amsterdam,Very High,1,70,350
"Amsterdam, Netherlands",2024,11.65,86.45,983.84,Noord-Holland,Netherlands,0.587936950148668,0.3496499131826233,1.277065819971829,0.7087380209531675,Amsterdam,Very High,1,70,350
Singapore,2020,27.28,84.69,2457.52,Central,Singapore,0.0,0.2999266955016832,1.2036215303974336,0.7802816535323419,Singapore,Very High,1,70,350
Singapore,2021,27.02,85.09,4281.8,Central,Singapore,0.0,0.2999266955016832,1.2036215303974336,0.7802816535323419,Singapore,Very High,1,70,350
Singapore,2022,27.14,85.16,4054.15,Central,Singapore,0.0,0.2999266955016832,1.2036215303974336,0.7802816535323419,Singapore,Very High,1,70,350
Singapore,2023,27.5,85.58,5657.72,Central,Singapore,0.0,0.2999266955016832,1.2036215303974336,0.7802816535323419,Singapore,Very High,1,70,350
Singapore,2024,27.84,86.02,5164.6,Central,Singapore,0.0,0.2999266955016832,1.2036215303974336,0.7802816535323419,Singapore,Very High,1,70,350
